sleepStartTimestampGMT,sleepEndTimestampGMT,Date,deep_sleep,light_sleep,rem_sleep,awake_sleep,sleepScore
2023-04-02T21:00:00.0,2023-04-03T04:45:00.0,2023-04-03,,,,,
2023-04-03T19:47:00.0,2023-04-04T00:36:00.0,2023-04-04,0.0,0.0,,0.0,
2023-04-04T21:00:00.0,2023-04-05T04:45:00.0,2023-04-05,,,,,
2023-04-05T19:57:00.0,2023-04-06T07:28:00.0,2023-04-06,0.0,0.0,,0.0,
2023-04-06T21:00:00.0,2023-04-07T04:45:00.0,2023-04-07,,,,,
2023-04-07T21:00:00.0,2023-04-08T04:45:00.0,2023-04-08,,,,,
2023-04-08T21:00:00.0,2023-04-09T04:45:00.0,2023-04-09,,,,,
2023-04-09T21:00:00.0,2023-04-10T04:45:00.0,2023-04-10,,,,,
2023-04-10T21:00:00.0,2023-04-11T04:45:00.0,2023-04-11,,,,,
2023-04-11T21:00:00.0,2023-04-12T04:45:00.0,2023-04-12,,,,,
2023-04-12T21:00:00.0,2023-04-13T04:45:00.0,2023-04-13,,,,,
2023-04-13T21:00:00.0,2023-04-14T04:45:00.0,2023-04-14,,,,,
2023-04-14T21:00:00.0,2023-04-15T04:45:00.0,2023-04-15,,,,,
2023-04-15T21:00:00.0,2023-04-16T04:45:00.0,2023-04-16,,,,,
2023-04-16T21:00:00.0,2023-04-17T04:45:00.0,2023-04-17,,,,,
2023-04-17T20:27:00.0,2023-04-18T08:16:00.0,2023-04-18,0.0,0.0,,0.0,
2023-04-18T21:00:00.0,2023-04-19T04:45:00.0,2023-04-19,,,,,
2023-04-19T21:00:00.0,2023-04-20T04:45:00.0,2023-04-20,,,,,
2023-04-20T21:00:00.0,2023-04-21T04:45:00.0,2023-04-21,,,,,
2023-04-21T21:00:00.0,2023-04-22T04:45:00.0,2023-04-22,,,,,
2023-04-22T20:22:00.0,2023-04-23T08:16:00.0,2023-04-23,0.0,0.0,,0.0,
2023-04-23T22:32:00.0,2023-04-24T08:10:00.0,2023-04-24,0.0,0.0,,0.0,
2023-04-24T19:42:00.0,2023-04-25T01:12:00.0,2023-04-25,0.0,0.0,,0.0,
2023-05-01T21:00:00.0,2023-05-02T04:45:00.0,2023-05-02,,,,,
2023-05-02T21:00:00.0,2023-05-03T04:45:00.0,2023-05-03,,,,,
2023-05-03T19:57:00.0,2023-05-04T04:41:00.0,2023-05-04,0.0,0.0,,0.0,
2023-05-04T21:00:00.0,2023-05-05T04:45:00.0,2023-05-05,,,,,
2023-05-05T21:00:00.0,2023-05-06T04:45:00.0,2023-05-06,,,,,
2023-05-06T21:00:00.0,2023-05-07T04:45:00.0,2023-05-07,,,,,
2023-05-07T21:00:00.0,2023-05-08T04:45:00.0,2023-05-08,,,,,
2023-05-08T21:00:00.0,2023-05-09T04:45:00.0,2023-05-09,,,,,
2023-05-09T21:00:00.0,2023-05-10T04:45:00.0,2023-05-10,,,,,
2023-05-10T19:57:00.0,2023-05-11T04:51:00.0,2023-05-11,0.0,0.0,,0.0,
2023-05-11T21:00:00.0,2023-05-12T04:45:00.0,2023-05-12,,,,,
2023-05-12T21:00:00.0,2023-05-13T04:45:00.0,2023-05-13,,,,,
2023-05-13T21:00:00.0,2023-05-14T04:45:00.0,2023-05-14,,,,,
2023-05-14T21:00:00.0,2023-05-15T04:45:00.0,2023-05-15,,,,,
2023-05-15T21:00:00.0,2023-05-16T04:45:00.0,2023-05-16,,,,,
2023-05-16T20:17:00.0,2023-05-17T08:16:00.0,2023-05-17,0.0,0.0,,0.0,
2023-05-17T21:00:00.0,2023-05-18T04:45:00.0,2023-05-18,,,,,
2023-05-18T22:27:00.0,2023-05-19T08:16:00.0,2023-05-19,0.0,0.0,,0.0,
2023-05-19T21:00:00.0,2023-05-20T04:45:00.0,2023-05-20,,,,,
2023-05-20T22:10:00.0,2023-05-21T08:14:00.0,2023-05-21,0.0,0.0,,0.0,
2023-05-21T21:00:00.0,2023-05-22T04:45:00.0,2023-05-22,,,,,
2023-05-22T21:00:00.0,2023-05-23T04:45:00.0,2023-05-23,,,,,
2023-05-23T19:57:00.0,2023-05-24T03:56:00.0,2023-05-24,0.0,0.0,,0.0,
2023-05-24T21:00:00.0,2023-05-25T04:45:00.0,2023-05-25,,,,,
2023-05-25T19:57:00.0,2023-05-26T07:26:00.0,2023-05-26,0.0,0.0,,0.0,
2023-05-26T21:00:00.0,2023-05-27T04:45:00.0,2023-05-27,,,,,
2023-05-27T21:00:00.0,2023-05-28T04:45:00.0,2023-05-28,,,,,
2023-05-28T19:57:00.0,2023-05-29T07:46:00.0,2023-05-29,0.0,0.0,,0.0,
2023-05-29T21:00:00.0,2023-05-30T04:45:00.0,2023-05-30,,,,,
2023-05-30T21:00:00.0,2023-05-31T04:45:00.0,2023-05-31,,,,,
2023-05-31T21:00:00.0,2023-06-01T04:45:00.0,2023-06-01,,,,,
2023-06-01T21:00:00.0,2023-06-02T04:45:00.0,2023-06-02,,,,,
2023-06-02T19:57:00.0,2023-06-03T06:31:00.0,2023-06-03,0.0,0.0,,0.0,
2023-06-03T19:42:00.0,2023-06-04T00:36:00.0,2023-06-04,0.0,0.0,,0.0,
2023-06-10T21:00:00.0,2023-06-11T04:45:00.0,2023-06-11,,,,,
2023-06-11T21:00:00.0,2023-06-12T04:45:00.0,2023-06-12,,,,,
2023-06-12T21:00:00.0,2023-06-13T04:45:00.0,2023-06-13,,,,,
2023-06-13T21:00:00.0,2023-06-14T04:45:00.0,2023-06-14,,,,,
2023-06-14T21:00:00.0,2023-06-15T04:45:00.0,2023-06-15,,,,,
2023-06-15T21:00:00.0,2023-06-16T04:45:00.0,2023-06-16,,,,,
2023-06-16T21:00:00.0,2023-06-17T04:45:00.0,2023-06-17,,,,,
2023-06-17T21:00:00.0,2023-06-18T04:45:00.0,2023-06-18,,,,,
2023-06-18T21:00:00.0,2023-06-19T04:45:00.0,2023-06-19,,,,,
2023-06-19T21:00:00.0,2023-06-20T04:45:00.0,2023-06-20,,,,,
2023-06-20T21:00:00.0,2023-06-21T04:45:00.0,2023-06-21,,,,,
2023-06-21T21:00:00.0,2023-06-22T04:45:00.0,2023-06-22,,,,,
2023-06-22T19:57:00.0,2023-06-23T07:51:00.0,2023-06-23,0.0,0.0,,0.0,
2023-06-23T21:00:00.0,2023-06-24T04:45:00.0,2023-06-24,,,,,
2023-06-24T19:52:00.0,2023-06-25T03:16:00.0,2023-06-25,0.0,0.0,,0.0,
2023-07-08T21:00:00.0,2023-07-09T04:45:00.0,2023-07-09,,,,,
2023-07-09T20:27:00.0,2023-07-10T08:21:00.0,2023-07-10,0.0,0.0,,0.0,
2023-07-10T21:00:00.0,2023-07-11T04:45:00.0,2023-07-11,,,,,
2023-07-11T21:00:00.0,2023-07-12T04:45:00.0,2023-07-12,,,,,
2023-07-12T21:00:00.0,2023-07-13T04:45:00.0,2023-07-13,,,,,
2023-07-13T21:00:00.0,2023-07-14T04:45:00.0,2023-07-14,,,,,
2023-07-14T21:32:00.0,2023-07-15T08:11:00.0,2023-07-15,0.0,0.0,,0.0,
2023-07-15T21:00:00.0,2023-07-16T04:45:00.0,2023-07-16,,,,,
2023-07-16T21:00:00.0,2023-07-17T04:45:00.0,2023-07-17,,,,,
2023-07-17T20:47:00.0,2023-07-18T07:54:00.0,2023-07-18,0.0,0.0,,0.0,
2023-07-18T21:00:00.0,2023-07-19T04:45:00.0,2023-07-19,,,,,
2023-07-19T21:00:00.0,2023-07-20T04:45:00.0,2023-07-20,,,,,
2023-07-20T21:00:00.0,2023-07-21T04:45:00.0,2023-07-21,,,,,
2023-07-21T21:00:00.0,2023-07-22T04:45:00.0,2023-07-22,,,,,
2023-07-22T19:57:00.0,2023-07-23T06:47:00.0,2023-07-23,0.0,0.0,,0.0,
2023-07-23T21:00:00.0,2023-07-24T04:45:00.0,2023-07-24,,,,,
2023-07-24T20:22:00.0,2023-07-25T08:16:00.0,2023-07-25,0.0,0.0,,0.0,
2023-07-25T21:00:00.0,2023-07-26T04:45:00.0,2023-07-26,,,,,
2023-07-26T21:00:00.0,2023-07-27T04:45:00.0,2023-07-27,,,,,
2023-07-27T21:00:00.0,2023-07-28T04:45:00.0,2023-07-28,,,,,
2023-07-28T21:00:00.0,2023-07-29T04:45:00.0,2023-07-29,,,,,
2023-07-29T21:00:00.0,2023-07-30T04:45:00.0,2023-07-30,,,,,
2023-07-30T21:00:00.0,2023-07-31T04:45:00.0,2023-07-31,,,,,
2023-07-31T21:00:00.0,2023-08-01T04:45:00.0,2023-08-01,,,,,
2023-08-01T21:00:00.0,2023-08-02T04:45:00.0,2023-08-02,,,,,
2023-08-02T21:00:00.0,2023-08-03T04:45:00.0,2023-08-03,,,,,
2023-08-03T21:00:00.0,2023-08-04T04:45:00.0,2023-08-04,,,,,
2023-08-04T21:00:00.0,2023-08-05T04:45:00.0,2023-08-05,,,,,
2023-08-05T21:00:00.0,2023-08-06T04:45:00.0,2023-08-06,,,,,
2023-08-06T21:00:00.0,2023-08-07T04:45:00.0,2023-08-07,,,,,
2023-08-07T19:52:00.0,2023-08-08T03:51:00.0,2023-08-08,0.0,0.0,,0.0,
2023-08-08T21:00:00.0,2023-08-09T04:45:00.0,2023-08-09,,,,,
2023-08-22T21:00:00.0,2023-08-23T04:45:00.0,2023-08-23,,,,,
2023-09-03T21:00:00.0,2023-09-04T04:45:00.0,2023-09-04,,,,,
2023-09-04T21:00:00.0,2023-09-05T04:45:00.0,2023-09-05,,,,,
2023-09-05T19:52:00.0,2023-09-06T07:26:00.0,2023-09-06,0.0,0.0,,0.0,
2023-09-06T21:22:00.0,2023-09-07T06:29:00.0,2023-09-07,9300.0,23460.0,,60.0,
2023-09-07T21:00:00.0,2023-09-08T04:45:00.0,2023-09-08,,,,,
2023-09-16T21:00:00.0,2023-09-17T04:45:00.0,2023-09-17,,,,,
2023-09-17T19:57:00.0,2023-09-18T06:31:00.0,2023-09-18,0.0,0.0,,0.0,
2023-09-18T19:52:00.0,2023-09-19T05:26:00.0,2023-09-19,0.0,0.0,,0.0,
2023-09-19T21:00:00.0,2023-09-20T04:45:00.0,2023-09-20,,,,,
2023-09-20T21:00:00.0,2023-09-21T04:45:00.0,2023-09-21,,,,,
2023-09-21T21:00:00.0,2023-09-22T04:45:00.0,2023-09-22,,,,,
2023-09-22T21:00:00.0,2023-09-23T04:45:00.0,2023-09-23,,,,,
2023-09-23T21:00:00.0,2023-09-24T04:45:00.0,2023-09-24,,,,,
2023-09-24T21:00:00.0,2023-09-25T04:45:00.0,2023-09-25,,,,,
2023-09-25T19:57:00.0,2023-09-26T07:11:00.0,2023-09-26,0.0,0.0,,0.0,
2023-09-26T19:47:00.0,2023-09-27T01:11:00.0,2023-09-27,0.0,0.0,,0.0,
2023-09-27T21:00:00.0,2023-09-28T04:45:00.0,2023-09-28,,,,,
2023-09-28T19:52:00.0,2023-09-29T06:31:00.0,2023-09-29,0.0,0.0,,0.0,
